KO	Simulated_1	Simulated_2	Simulated_3	Simulated_4	Simulated_5	Simulated_6	Simulated_7	Simulated_8	Simulated_9	Simulated_10	Simulated_11	Simulated_12	Simulated_13	Simulated_14	Simulated_15	Simulated_16	Simulated_17	Simulated_18	Simulated_19	Simulated_20
K05550	0.0003405448212	0.0002541452894	0.0001946038002	6.9425026904e-05	0.0002770069698	0.0002146993516	0.0003380824676	1.9137868142e-05	0.0001805164674	5.3520155746e-05	0.0004107185549	0.0004111607013	0.0001026296150	0.0001364959270	0.0002929436773	0.0002331214923	0.0003600885874	0	0.0002107956153	0.0002002069153
K05559	3.0260316218e-05	4.0050667387e-05	0.0001231488793	4.8735569449e-05	0.0001737079833	0.0003183400754	0.0002207570321	0.0001444292246	0.0002350430032	9.8923297365e-05	0.0001561195955	0.0001629684581	0.0001347921416	9.8171506686e-05	0.0001146449764	0.0001914816682	0.0001307626517	0.0003193028695	0.0002197505268	0.0002718741589
K05560	1.5185613249e-05	1.4463618613e-05	0.0001313934619	7.5203772441e-05	0.0001761060677	0.0003177685665	0.0001974456746	0.0001335648366	0.0001620186333	9.5427447510e-05	5.8517910731e-05	0.0001492642386	0.0001858897795	9.4670569558e-05	8.7430794954e-05	0.0001090764128	6.9993854491e-05	0.0003344214052	0.0002304335595	0.0002600053389
K05561	4.6503614433e-05	1.7570794283e-05	0.0001068777638	6.0124008471e-05	0.0001558192643	0.0003307036915	0.0001934833020	0.0001129840703	0.0001842441269	0.0001019865506	0.0001619324197	0.0001131248976	0.0001491020865	0.0001003628737	8.7068508404e-05	0.0001998952440	9.2100600844e-05	0.0003708800829	0.0002036758703	0.0003052320564
K05562	5.9269656716e-05	2.7992078019e-05	0.0001249407335	4.3821240491e-05	0.0001901011784	0.0002174046307	0.0002716567858	0.0001372565765	0.0002366930665	0.0001152489243	0.0002092170576	0.0001457888805	0.0001448099958	9.7100096578e-05	7.9868805882e-05	0.0002399104143	0.0001205016907	0.0002980365125	0.0002533450120	0.0002925828143
K05563	0	5.1678996842e-05	0.0001924439141	1.5136857619e-05	0.0001940458505	0.0002773608835	0.0003202457581	0.0001628208320	0.0001486058420	6.4945806973e-05	7.0667984383e-05	0.0001817778330	8.3969685069e-05	0.0001325084055	0.0001458147062	0.0001323011831	0.0001867411681	0.0004242830480	0.0002604666984	8.2568374586e-05
K05564	2.8098455602e-05	2.6762524422e-05	0.0001035499622	8.3383207058e-05	0.0001208247904	0.0003867598762	0.0002442680019	0.0001686440764	0.0002688315544	8.2912372426e-05	0.0001389063545	7.3180201690e-05	9.2808599286e-05	8.1897556205e-05	0.0001290168926	0.0002801147859	0.0001640092005	0.0002273780867	0.0001643821505	0.0003141107515
K05577	2.4619121354e-05	8.6276248980e-06	8.7339149380e-05	4.0680582867e-05	3.0367646728e-06	9.4355071371e-05	0.0001160455736	0.0003935763028	0.0001100342965	0.0001624003870	8.6025320935e-05	0	0.0002503079704	0.0001286994501	0	0.0001024474658	0.0002408809378	0.0001253360534	1.4822619911e-05	0.0001272804889
K05589	0.0003858191846	0.0003634266823	0.0004414005863	0.0006604127919	0.0004075438812	0.0004104008218	0.0003154006716	0.0005663167729	0.0005819170931	0.0004440636065	0.0003607362960	0.0004065109022	0.0004804421001	0.0005642111386	0.0003362593613	0.0005586709385	0.0003846048896	0.0006981442407	0.0004735039841	0.0003376481696
K05591	0.0002843866392	0.0004537350031	0.0001972407556	0.0005137760938	0.0002569656974	0.0002342417332	0.0002038780892	8.1762596424e-05	8.0340317494e-05	0.0003039308289	0.0002888667075	0.0002582464457	0.0002654552960	0.0001587329661	0.0003654252192	0.0001046336170	0.0002938866372	0.0002753688075	0.0002843842869	0.0001420259648
K05592	1.8110037635e-05	1.2919562336e-05	2.6587445871e-05	1.4133710449e-05	8.8782993017e-05	0.0001734285534	0.0001194700508	5.7412220716e-05	0.0001059169603	0	9.6450566878e-05	0.0001140657400	0	8.5461985966e-05	4.9719662961e-06	0.0001266289613	2.4369448629e-05	0.0001446329700	1.6294980840e-05	0.0001192735372
K05595	0.0006429735765	0.0005449480735	0.0006045567694	0.0006159880569	0.0004003572129	0.0003528973921	0.0004471334538	0.0008459791152	0.0003730385365	0.0006290863530	0.0004904240900	0.0005393473515	0.0005238410397	0.0005990077540	0.0005535359834	0.0006220332938	0.0005586899749	0.0004390888814	0.0003106879733	0.0003045360485
K05596	0.0004718217234	0.0003626775108	0.0004258553837	9.6255380685e-05	0.0003735063513	0.0002711137980	0.0001747404362	8.4543257272e-05	0.0001983639081	0.0004057508415	0.0004585310800	0.0004509135060	0.0002171892599	0.0003203661336	0.0004189736919	0.0001646871423	0.0004686631635	2.1372965634e-05	0.0002140977274	0.0003039329462
K05597	2.6679696205e-05	0	8.6024652752e-06	3.8887507143e-06	8.2403699948e-05	9.3665883382e-05	0.0002269147925	0	0.0001076045061	0	7.8183778302e-05	0.0001385428290	0.0001501917480	0.0001057479480	3.5478856722e-05	0.0001179106884	2.9216410788e-05	3.2032113904e-05	0.0002262015143	0.0001299197407
K05603	0.0002181716649	0.0001054241254	0.0001193968432	2.0281642286e-05	0.0001755455156	0.0001833496540	0.0002171099273	3.3842832849e-05	0.0001008284035	0.0001086995607	0.0002073587894	0.0001946395029	0.0002370436132	0.0001675284141	0.0002907440330	0.0001126731278	0.0002467044599	9.1848273944e-06	0.0003148734239	0.0001775032948
K05685	0.0001502016870	0.0002164906018	0.0001958976374	8.4956802666e-05	0.0001728013805	0.0001288115986	3.0148406516e-05	0.0005705948810	0.0002164627581	0.0001954474091	8.4346733523e-05	0.0002307919380	0.0001293542664	0.0001852869291	4.3193556332e-05	0.0001922323499	4.5756264997e-06	0.0003094562032	1.1688850522e-05	3.8126183184e-05
K05700	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7138962663e-06	0	0	0	0	0	0
K05708	4.7906994178e-06	6.8443909508e-06	4.6340661155e-06	4.1896659482e-06	5.1399049686e-05	8.3709641306e-05	6.7399679978e-05	0	8.0259954435e-05	0	5.1476158267e-05	0.0001155587652	2.2491879929e-06	7.4585274401e-05	0	8.5419904527e-05	2.2483717485e-05	1.9678917526e-06	2.3238548062e-06	0.0001093539484
K05710	0.0008160446648	0.0005863215225	0.0005153111629	0.0001713903190	0.0004966013860	0.0003854667457	0.0006523904045	6.2932303935e-05	0.0003568875671	0.0003074710460	0.0008174461068	0.0006353133751	0.0003447137859	0.0005398564631	0.0009410762470	0.0003137911437	0.0008555364126	1.0839534899e-05	0.0005346608196	0.0005965775894
K05711	2.3847037102e-05	5.6783095295e-06	0	1.0427613026e-05	9.8852313739e-05	8.2241051108e-05	7.8283480153e-05	0	7.7683708984e-05	0	9.9000611455e-05	0.0001318225915	0	8.7357393285e-05	0	9.8123377508e-05	2.2383789852e-05	0	5.7838164067e-06	0.0001415283102
