KO	SRS011061	SRS011134	SRS011239	SRS011271	SRS011302
K06104	0.000104688995215	9.52529182879e-05	8.31312217195e-05	7.21071428571e-05	0.000109019607843
K06105	3.12057416268e-05	0.000133151750973	0.000127511312217	1.84464285714e-05	0.00015537254902
K06106	0.000294641148325	0.000845914396887	0.000246153846154	0.000201071428571	0.000678117647059
K06107	0.000316172248804	0.000485369649805	0.00103076923077	0.000168035714286	0.00154666666667
K06108	0.0	0.0	0.0	0.0	0.0
K06109	0.0	7.02957198444e-05	9.2850678733e-05	0.0	0.00119764705882
K06110	0.0	0.0	0.00019257918552	5.95892857143e-05	0.0
K06111	0.000207655502392	5.33618677043e-05	7.62895927602e-05	3.20982142857e-05	0.000649803921569
K06112	1.79425837321e-05	6.91517509728e-05	0.000206515837104	2.20357142857e-05	1.64078431373e-05
K06113	0.484210526316	0.192217898833	0.322171945701	0.56875	0.0925490196078
K06114	7.22296650718e-06	3.63346303502e-05	2.33936651584e-10	8.9375e-06	9.57647058824e-06
K06115	0.0001795215311	0.000135019455253	0.000120180995475	7.80535714286e-05	0.00026337254902
K06116	0.00165263157895	0.00312529182879	0.00111402714932	0.000469910714286	0.00674352941176
K06117	0.0006004784689	0.000712996108949	0.000923076923077	0.000349732142857	0.000120470588235
K06118	0.0	1.98054474708e-05	0.0	0.0	0.000187450980392
K06119	0.00306028708134	0.00577821011673	0.00511945701357	0.00190625	0.00179137254902
K06120	9.73205741627e-05	0.000287392996109	0.000362714932127	0.00142946428571	0.00127764705882
K06121	0.000116076555024	0.000154941634241	0.000411131221719	0.00098125	0.00135215686275
K06122	3.23062200957e-05	2.67937743191e-05	2.39185520362e-05	0.000360178571429	0.000121019607843
K06123	0.00118660287081	0.00101245136187	0.000489140271493	0.000535	0.000398901960784
K06124	0.000157703349282	3.28171206226e-05	0.0	0.0	2.68941176471e-05
K06125	0.00191961722488	0.00281712062257	0.0011665158371	0.000445803571429	0.00332705882353
K06126	0.000156937799043	0.000183112840467	0.000512941176471	0.00033375	0.000261254901961
K06127	0.00258660287081	0.00390661478599	0.00238461538462	0.00885892857143	0.00103450980392
K06128	0.00029971291866	4.01089494163e-05	0.000112941176471	8.27232142857e-05	0.0
K06129	0.000105933014354	2.07081712062e-05	5.83529411765e-05	0.0	1.09411764706e-05
K06130	0.000972248803828	0.000912062256809	0.00035665158371	0.000575267857143	0.000659607843137
K06131	0.852661656434	0.929944037046	0.868980403742	0.953172319477	1.13903460878
K06132	0.000935560995547	0.00452547000888	0.000586058154354	0.00500791315432	0.001626075724
K06133	0.00783671452368	0.0202376284415	0.0136271617216	0.0180398602171	0.0148050450208
K06134	0.001953390029	0.000650096772374	0.00429763917143	0.000702915798053	0.000281755975623
K06135	0.0	0.0	0.0	0.0	0.0
K06136	0.000284497607656	0.000856809338521	0.00023221719457	0.000232767857143	0.00343607843137
K06137	0.000129937027772	0.000569545330217	0.000261497773084	4.30575848208e-05	0.000181824039078
K06138	0.0995215311005	0.0501167315175	0.0523981900452	0.0527589285714	0.0237647058824
K06139	0.00327751196172	0.00858365758755	0.00624615384615	0.0175535714286	0.00165490196078
K06140	0.000244627707543	0.00571915361853	0.000589553357302	0.0409534027425	0.00129518186047
K06141	0.0	0.000146248915672	0.000622058744721	0.0	0.0
K06142	0.726430131901	0.409292307709	0.628566404832	0.730121865823	0.222094847142
K06143	0.11576909525	0.0423025937303	0.0283723099327	0.0530439466703	0.00691485291904
K06144	0.0	0.000322003200535	0.000460755128658	0.0	0.0
K06145	0.00484861128809	0.00871260069092	0.00849771216802	0.0128654514774	0.0325550619154
K06146	0.0	0.000157587548638	0.000637104072398	0.000191428571429	0.000158901960784
K06147	2.31578947368	2.84046692607	2.80542986425	2.875	4.5568627451
K06148	0.298902353576	0.531651737697	0.407685245176	0.391960482186	0.876935024995
K06149	0.0017608359626	0.000796476913162	0.00174585387267	0.00466179590043	0.000883304511452
K06151	0.000620861244019	0.000969649805447	0.00293212669683	0.000483035714286	0.000115843137255
K06152	0.000136746411483	0.000225992217899	0.000797375565611	0.001525	4.46745098039e-05
K06153	0.888263829125	0.793416805938	0.889503975628	0.871941529403	0.755975343027
K06154	1.31387559809e-05	6.68015564202e-05	0.0	2.65982142857e-07	5.10039215686e-08
K06155	0.0332316802202	0.0115587169166	0.0393559851977	0.00713198383467	0.00227618757451
K06156	0.000536492245475	0.00286571957726	0.00157109372525	0.00103941468442	0.00233043160495
K06157	0.00123157894737	0.000683035019455	0.00233393665158	0.000468392857143	0.000587215686275
K06158	1.58351263	1.12474144984	1.52824809429	1.50009827988	0.865710719098
K06159	0.00077620343213	0.00190733350125	0.0016829402196	0.00217536888026	0.00153125249995
K06160	0.00726315789474	0.00792217898833	0.00891583710407	0.0159553571429	0.0144156862745
K06161	0.000128229665072	0.000114085603113	0.000384343891403	0.000106875	9.45098039216e-05
K06162	0.00465332140897	0.00143423898777	0.00533367969908	0.00646048229517	0.0116315172476
K06163	0.000602335281218	0.00038662165566	0.00947199998985	0.0098453589698	0.000684973587841
K06164	0.000284108711429	0.000428805164005	0.00397055054925	0.00625082411083	0.000607656627283
K06165	0.0	0.000221814947958	0.000345151291143	0.000634159008508	0.000158549132725
K06166	0.00106780992401	0.00142062524981	0.00092185977761	0.00112430866683	0.000878112387444
K06167	0.563342841892	0.295023213595	0.538499842221	0.428572954033	0.165569635322
K06168	1.06713347933	1.03984242926	1.11065918113	0.972441842311	0.910870128031
K06169	8.76231863581e-05	9.3126622069e-05	0.0	0.0	0.0
K06170	0.0	0.0	0.0	0.0	0.000105254901961
K06171	4.92918660287e-05	2.83968871595e-05	1.59004524887e-05	5.95178571429e-05	2.85960784314e-05
K06172	0.000207655502392	0.0	0.0	0.0	3.45176470588e-05
K06173	0.73101581556	0.839301809218	0.841509911748	0.670940355631	0.838230171513
K06174	0.0384483831871	0.0245065489728	0.041333163923	0.0306848986415	0.0157634838909
K06175	0.0111128753388	0.00861309267799	0.00761779482579	0.0166990215099	0.00427507188082
K06176	0.00102826619522	0.00154307930703	0.00123811649341	0.0025656464414	0.000991387941071
K06177	0.368692924544	0.219179608944	0.361687634903	0.37029165408	0.123315459688
K06178	0.893549641499	0.727752788487	0.905608973407	0.659309537512	0.672136413191
K06179	0.106299780673	0.184770767855	0.0996750805534	0.168397836791	0.291949160309
K06180	1.95498924177	1.70369524464	1.88513209506	1.92430127216	1.42410530774
K06181	0.00542379422827	0.0164417366833	0.021708674934	0.00441227376132	0.0148997433147
K06182	0.074767687317	0.105232467109	0.0809525605592	0.131141954931	0.0813306830993
K06183	0.138855030447	0.258477397686	0.168931200493	0.164657141018	0.392375210477
K06184	0.00997129186603	0.00466381322957	0.00841266968326	0.00529017857143	0.00349803921569
K06185	0.0117607655502	0.00839688715953	0.00961990950226	0.0110357142857	0.0112941176471
K06186	0.00435607571675	0.00300331301386	0.00255888273627	0.00676184062077	0.000774657859253
K06187	0.878313621159	0.946686100456	0.985991226825	0.839164360576	0.960967810495
K06188	0.169347517887	0.135724060473	0.207981590146	0.0768701891375	0.0692389797905
K06189	0.205267320343	0.154948727223	0.193188175646	0.280271989919	0.164696630389
K06190	0.00892284488689	0.00407972198852	0.00185330830717	0.00938915316496	0.000735816638127
K06191	0.000227358422754	0.00287797951418	0.00595806435732	0.0012908565187	0.00283285362667
K06192	0.00452823339705	0.00258509940608	0.00411385387013	0.00574424254024	0.00139324537237
K06193	0.0185600926016	0.0206420762507	0.0285764529639	0.00998223656093	0.00637807537147
K06194	0.396118843764	0.194862836523	0.451131570536	0.171798800182	0.142680460408
K06195	0.00130557381339	0.00475379198767	0.0106369092291	0.000392887937714	0.00319589840869
K06196	0.0964275832204	0.0657330722248	0.135552776733	0.0759532312146	0.0725546447635
K06197	0.0	0.00011638582423	0.000665486641354	0.0	0.0
K06198	9.79226843822e-05	0.00531686457164	0.00715118523219	0.00179183308756	0.00212538421033
K06199	0.451510949591	0.275963598389	0.433884485678	0.37841123095	0.121796531249
K06200	0.129730874024	0.195247371418	0.134890283967	0.204737804996	0.201656137795
K06201	0.438457418229	0.274220450788	0.44072450038	0.246771906301	0.16013339271
K06202	0.00618966860215	0.00238000396376	0.00133336687194	0.0059475772102	0.000203441391942
K06203	0.0035449766425	0.0016972715809	0.00148668025239	0.00327794310711	0.00044178060613
K06204	0.231236216981	0.144484167865	0.211166642546	0.227736437737	0.0657213525273
K06205	0.000755821334928	0.000719951237093	0.000345588191512	0.00173628542022	0.000331005987923
K06206	0.0827334389516	0.141463568809	0.0612517609369	0.0891354409922	0.47109685622
K06207	1.15570755372	1.04163641763	1.18908693001	0.993455889628	0.988057377738
K06208	0.00157252629716	0.00520459857815	0.00674172875169	0.00615084642773	0.000463993416096
K06209	0.0594090735591	0.0900302071395	0.0801799556337	0.104362284104	0.249707530451
K06210	0.00173110047847	0.00413073929961	0.000642624434389	0.00359732142857	0.00458431372549
K06211	0.000450444348158	0.00041827743817	0.000470891217208	0.00194837651372	0.000208950669159
K06212	0.0379993186091	0.0694466880072	0.0234353357683	0.0318809945312	0.0583798984986
K06213	0.8485312096	0.58679006998	0.733122365717	0.32467356873	0.609871097408
K06214	3.47293212755e-05	6.45821526215e-05	0.000521222139663	2.10323667723e-05	0.0
K06215	0.130796217123	0.19895792839	0.0696860097557	0.638352612953	0.0561614721666
K06216	0.0	0.000124046692607	0.0	0.0	0.0
K06217	0.802178889486	0.535702939871	0.708260527623	0.649877185098	0.618312250591
K06218	0.00623799647588	0.0166918908237	0.00449308339002	0.00945993607525	0.0221765813392
