KO	SRS011061	SRS011134	SRS011239	SRS011271	SRS011302
K03421	0	1.147e-06	1.920e-07	0	7.447e-07
K03422	0	8.767e-07	1.895e-07	0	1.024e-06
K03423	0.000249	0.000355	0.000302	0.000300	0.000465
K03424	0.00102	0.00110	0.00116	0.000825	0.00111
K03425	4.426e-08	1.844e-07	0	3.361e-08	0
K03426	0.000370	0.000326	0.000363	0.000446	0.000221
K03427	0.00121	0.00161	0.00141	0.00142	0.00185
K03428	7.849e-06	7.104e-06	4.331e-06	2.528e-06	2.822e-06
K03429	1.285e-05	7.581e-05	3.133e-05	3.531e-05	4.060e-05
K03430	0.000408	0.000174	0.000402	0.000141	0.000109
K03431	0.000316	0.000604	0.000269	0.000318	0.000924
K03432	6.268e-07	1.444e-06	1.114e-06	7.207e-07	3.029e-06
K03433	3.314e-07	4.824e-07	1.972e-07	3.774e-07	1.302e-06
K03434	0	0	2.525e-07	6.158e-08	2.077e-07
K03435	9.813e-06	1.057e-05	1.146e-05	6.568e-06	3.223e-06
K03436	3.011e-05	0.000117	8.627e-05	0.000120	8.786e-05
K03437	0.000495	0.000593	0.000550	0.000558	0.000493
K03438	0.000901	0.00130	0.000950	0.00108	0.00126
K03439	0.000795	0.000997	0.000702	0.00103	0.000747
K03441	1.659e-07	1.912e-07	1.470e-07	3.108e-08	1.662e-07
K03442	0.000647	0.000561	0.000780	0.000392	0.000491
K03444	0.000204	0.000139	1.903e-05	5.826e-05	3.123e-05
K03445	2.773e-06	4.166e-06	4.331e-06	2.443e-06	1.629e-06
K03446	2.006e-05	1.905e-05	3.808e-05	1.554e-05	1.311e-05
K03449	8.267e-06	1.858e-05	1.433e-05	1.477e-05	6.748e-06
K03450	1.919e-08	1.261e-07	6.202e-08	2.387e-08	1.068e-07
K03451	8.697e-06	0.000100	9.960e-06	1.396e-05	3.257e-05
K03452	0	0	0	0	0
K03453	0.000373	0.000362	0.000470	0.000608	0.000218
K03454	3.647e-08	1.590e-06	3.610e-08	6.497e-08	1.368e-06
K03455	0.000742	0.000428	0.000703	0.000501	0.000266
K03456	3.334e-08	3.358e-08	1.799e-08	1.139e-07	0
K03457	4.850e-06	1.232e-05	4.889e-06	4.665e-06	1.617e-05
K03458	0.000292	0.000410	0.000347	0.000744	0.000292
K03459	7.215e-07	6.137e-07	6.610e-07	4.022e-07	3.187e-07
K03462	3.300e-07	9.414e-06	1.039e-07	1.710e-06	2.781e-06
K03464	0	6.050e-09	1.048e-07	3.403e-07	0
K03465	0.000124	0.000338	0.000122	0.000184	0.000771
K03466	0.000674	0.000717	0.000722	0.000587	0.000656
K03469	0.000791	0.000992	0.000778	0.000653	0.00100
K03470	0.000798	0.00100	0.000892	0.000941	0.000906
K03471	3.988e-06	8.295e-05	4.111e-05	1.469e-05	2.076e-05
K03472	1.234e-06	2.105e-06	1.387e-06	5.561e-07	4.729e-07
K03473	0.000467	0.000231	0.000445	0.000137	0.000146
K03474	0.000692	0.000348	0.000593	0.000184	0.000183
K03475	1.626e-05	2.329e-05	3.519e-06	6.067e-06	1.345e-05
K03476	1.387e-06	4.766e-06	4.929e-06	5.297e-06	1.045e-05
K03477	6.326e-07	2.331e-06	4.566e-06	1.131e-06	5.789e-07
K03478	4.100e-05	3.543e-05	4.103e-05	1.055e-05	9.398e-06
K03479	0	0	0	0	0
K03480	5.717e-07	1.186e-05	1.289e-06	3.378e-06	4.426e-05
K03481	9.150e-07	1.430e-05	9.646e-07	8.707e-07	4.285e-06
K03482	7.625e-07	3.379e-06	1.360e-06	2.462e-06	1.240e-06
K03483	2.870e-07	1.131e-06	1.543e-07	6.251e-07	1.153e-06
K03484	1.181e-05	3.887e-05	1.771e-05	7.155e-05	7.179e-05
K03485	2.133e-06	6.679e-06	6.035e-06	4.567e-06	4.471e-06
K03486	1.548e-05	2.543e-05	1.836e-05	1.625e-05	2.057e-05
K03487	5.582e-06	3.861e-06	3.727e-06	4.283e-06	9.844e-06
K03488	8.719e-06	4.916e-05	2.089e-05	2.356e-05	0.000236
K03489	1.509e-08	2.861e-06	1.258e-07	2.834e-06	5.913e-09
K03490	3.536e-05	3.346e-05	2.136e-05	3.763e-05	2.538e-05
K03491	6.529e-07	9.284e-06	1.571e-06	2.922e-06	9.292e-06
K03492	1.072e-06	8.100e-06	1.192e-06	5.144e-06	2.188e-05
K03493	0	3.758e-07	0	0	5.275e-07
K03494	0	0	3.807e-08	0	0
K03495	0.000998	0.00125	0.00104	0.00100	0.00127
K03496	0.00249	0.00228	0.00215	0.00206	0.00342
K03497	0.00152	0.00183	0.00159	0.00132	0.00323
K03498	0.00105	0.00108	0.00126	0.00133	0.00143
K03499	0.00120	0.00116	0.00149	0.00101	0.00163
K03500	0.000119	0.000238	0.000195	0.000196	0.000337
K03501	0.000690	0.000900	0.000683	0.000722	0.000952
K03502	0.000454	0.000766	0.000381	0.000460	0.00101
K03503	7.764e-05	0.000144	2.854e-05	0.000137	8.502e-05
K03504	4.835e-07	6.368e-07	1.238e-06	8.405e-06	6.568e-07
K03505	7.416e-08	0	0	3.295e-07	0
K03506	7.286e-08	1.899e-07	6.370e-07	2.324e-07	5.511e-07
K03507	1.698e-09	1.682e-08	1.665e-08	1.313e-08	2.023e-08
K03508	0	0	0	0	0
K03509	1.469e-07	3.917e-07	1.383e-07	1.645e-07	8.438e-07
K03510	4.221e-08	1.967e-07	1.147e-07	6.978e-08	6.859e-08
K03511	5.518e-07	2.065e-06	6.837e-07	1.856e-06	8.248e-07
K03512	4.640e-08	3.997e-08	2.062e-08	1.252e-09	1.152e-08
K03513	3.607e-08	1.007e-07	1.949e-08	0	2.074e-07
K03514	4.309e-06	3.395e-06	3.865e-06	2.364e-06	8.368e-06
K03515	1.153e-06	9.428e-07	4.650e-07	7.849e-07	3.713e-07
K03516	0	0	6.098e-07	1.625e-05	0
K03517	0.000849	0.000593	0.000673	0.000892	0.000737
K03518	6.918e-05	0.000198	8.031e-05	0.000126	0.000221
K03519	9.392e-06	1.288e-05	3.837e-06	3.119e-06	8.517e-06
K03520	3.225e-06	8.228e-06	2.606e-06	3.171e-06	7.546e-06
K03521	0.000800	0.000714	0.000855	0.000815	0.000407
K03522	0.000876	0.000774	0.000885	0.000941	0.000453
K03523	9.087e-05	0.000215	0.000190	0.000200	0.000370
K03524	0.000499	0.000458	0.000503	0.000476	0.000469
